,x_spot,y_spot,new_x_spot,new_y_spot,pixel_x_spot,pixel_y_spot,selected,sp_loc,pixel_x_meta,pixel_y_meta,label,sp_loc_decimals_meta
10x25,10,25,9.941,25.022,2600.43,6962.85,1,10x25,1117.625,1243.14141176471,immune infiltrate,9.941x25.022
10x26,10,26,9.943,26.03,2601.02,7255.02,1,10x26,1117.875,1117.55647058824,connective tissue,9.943x26.03
10x27,10,27,9.935,27.019,2598.69,7541.68,1,10x27,1116.875,994.338705882353,connective tissue,9.935x27.019
10x28,10,28,9.932,28.011,2597.82,7829.22,1,10x28,1116.5,870.747176470588,connective tissue,9.932x28.011
10x29,10,29,9.925,29.024,2595.78,8122.84,1,10x29,1115.625,744.539294117647,connective tissue,9.925x29.024
10x3,10,3,9.902,2.99,2589.09,576.81,1,10x3,1112.75,3988.06941176471,invasive cancer,9.902x2.99
10x30,10,30,9.931,30.041,2597.53,8417.62,1,10x30,1116.375,617.833058823529,connective tissue,9.931x30.041
10x31,10,31,9.948,31.034,2602.47,8705.44,1,10x31,1118.5,494.116941176471,undetermined,9.948x31.034
10x32,10,32,9.935,32.046,2598.69,8998.77,1,10x32,1116.875,368.033647058824,immune infiltrate,9.935x32.046
10x33,10,33,9.941,33.073,2600.43,9296.45,1,10x33,1117.625,240.081529411765,immune infiltrate,9.941x33.073
10x4,10,4,9.922,4.009,2594.91,872.17,1,10x4,1115.25,3861.114,invasive cancer,9.922x4.009
10x5,10,5,9.915,5.02,2592.87,1165.21,1,10x5,1114.375,3735.15529411765,invasive cancer,9.915x5.02
10x6,10,6,9.907,6.04,2590.55,1460.86,1,10x6,1113.375,3608.07529411765,invasive cancer,9.907x6.04
10x7,10,7,9.911,6.993,2591.71,1737.09,1,10x7,1113.875,3489.34270588235,invasive cancer,9.911x6.993
10x8,10,8,9.99,7.978,2614.69,2022.59,1,10x8,1123.75,3366.62329411765,invasive cancer,9.99x7.978
10x9,10,9,9.905,8.948,2589.96,2303.75,1,10x9,1113.125,3245.77270588235,invasive cancer,9.905x8.948
11x10,11,10,10.922,9.938,2885.75,2590.71,1,11x10,1240.25,3122.43035294118,invasive cancer,10.922x9.938
11x12,11,12,10.908,11.94,2881.68,3170.99,1,11x12,1238.5,2873.00470588235,undetermined,10.908x11.94
11x13,11,13,10.937,12.946,2890.11,3462.58,1,11x13,1242.125,2747.66894117647,undetermined,10.937x12.946
11x14,11,14,10.925,13.947,2886.62,3752.73,1,11x14,1240.625,2622.95611764706,invasive cancer,10.925x13.947
11x15,11,15,10.92,14.964,2885.17,4047.51,1,11x15,1240.0,2496.24988235294,invasive cancer,10.92x14.964
11x16,11,16,10.924,15.949,2886.33,4333.01,1,11x16,1240.5,2373.53047058824,invasive cancer,10.924x15.949
11x17,11,17,10.928,16.957,2887.5,4625.18,1,11x17,1241.0,2247.94552941176,invasive cancer,10.928x16.957
11x18,11,18,10.924,17.977,2886.33,4920.83,1,11x18,1240.5,2120.86552941176,invasive cancer,10.924x17.977
11x19,11,19,10.946,18.951,2892.73,5203.15,1,11x19,1243.25,1999.51658823529,invasive cancer,10.946x18.951
11x20,11,20,10.91,19.982,2882.26,5501.99,1,11x20,1238.75,1871.06611764706,invasive cancer,10.91x19.982
11x21,11,21,10.951,20.975,2894.19,5789.81,1,11x21,1243.875,1747.35,invasive cancer,10.951x20.975
11x22,11,22,10.954,21.996,2895.06,6085.75,1,11x22,1244.25,1620.14541176471,invasive cancer,10.954x21.996
11x23,11,23,10.928,22.995,2887.5,6375.32,1,11x23,1241.0,1495.68176470588,undetermined,10.928x22.995
11x24,11,24,10.959,24.016,2896.51,6671.26,1,11x24,1244.875,1368.47717647059,connective tissue,10.959x24.016
11x25,11,25,10.921,24.999,2885.46,6956.18,1,11x25,1240.125,1246.00694117647,connective tissue,10.921x24.999
11x26,11,26,10.947,26.02,2893.02,7252.12,1,11x26,1243.375,1118.80235294118,connective tissue,10.947x26.02
11x27,11,27,10.947,27.019,2893.02,7541.68,1,11x27,1243.375,994.338705882353,connective tissue,10.947x27.019
11x28,11,28,10.94,28.008,2890.99,7828.35,1,11x28,1242.5,871.120941176471,connective tissue,10.94x28.008
11x29,11,29,10.959,29.039,2896.51,8127.19,1,11x29,1244.875,742.670470588235,connective tissue,10.959x29.039
11x3,11,3,10.93,3.003,2888.08,580.58,1,11x3,1241.25,3986.44976470588,invasive cancer,10.93x3.003
11x30,11,30,10.981,30.037,2902.91,8416.46,1,11x30,1247.625,618.331411764706,immune infiltrate,10.981x30.037
11x31,11,31,10.956,31.04,2895.64,8707.18,1,11x31,1244.5,493.369411764706,undetermined,10.956x31.04
11x32,11,32,10.988,32.044,2904.95,8998.19,1,11x32,1248.5,368.282823529412,immune infiltrate,10.988x32.044
11x4,11,4,10.935,4.014,2889.53,873.62,1,11x4,1241.875,3860.49105882353,invasive cancer,10.935x4.014
11x5,11,5,10.946,5.012,2892.73,1162.89,1,11x5,1243.25,3736.152,invasive cancer,10.946x5.012
11x6,11,6,10.917,5.999,2884.3,1448.97,1,11x6,1239.625,3613.18341176471,invasive cancer,10.917x5.999
11x7,11,7,10.917,6.976,2884.3,1732.16,1,11x7,1239.625,3491.46070588235,invasive cancer,10.917x6.976
11x8,11,8,10.935,7.958,2889.53,2016.8,1,11x8,1241.875,3369.11505882353,invasive cancer,10.935x7.958
11x9,11,9,10.905,8.957,2880.81,2306.36,1,11x9,1238.125,3244.65141176471,invasive cancer,10.905x8.957
12x10,12,10,12.007,10.008,3201.32,2611.0,1,12x10,1375.875,3113.70917647059,invasive cancer,12.007x10.008
12x11,12,11,12.026,11.022,3206.84,2904.91,1,12x11,1378.25,2987.37670588235,invasive cancer,12.026x11.022
12x12,12,12,12.006,11.988,3201.03,3184.9,1,12x12,1375.75,2867.02447058824,connective tissue,12.006x11.988
12x13,12,13,12.026,13.003,3206.84,3479.1,1,12x13,1378.25,2740.56741176471,invasive cancer,12.026x13.003
12x14,12,14,12.028,13.997,3207.42,3767.22,1,12x14,1378.5,2616.72670588235,invasive cancer,12.028x13.997
12x15,12,15,12.031,15.001,3208.3,4058.23,1,12x15,1378.875,2491.64011764706,invasive cancer,12.031x15.001
12x16,12,16,12.02,16.024,3205.1,4354.75,1,12x16,1377.5,2364.18635294118,invasive cancer,12.02x16.024
12x17,12,17,12.044,17.033,3212.08,4647.21,1,12x17,1380.5,2238.47682352941,invasive cancer,12.044x17.033
12x18,12,18,12.019,18.005,3204.81,4928.95,1,12x18,1377.375,2117.37705882353,invasive cancer,12.019x18.005
12x19,12,19,12.027,19.026,3207.13,5224.89,1,12x19,1378.375,1990.17247058824,invasive cancer,12.027x19.026
12x20,12,20,12.028,20.04,3207.42,5518.8,1,12x20,1378.5,1863.84,invasive cancer,12.028x20.04
12x21,12,21,12.026,21.033,3206.84,5806.62,1,12x21,1378.25,1740.12388235294,invasive cancer,12.026x21.033
12x22,12,22,12.024,22.038,3206.26,6097.93,1,12x22,1378.0,1614.91270588235,invasive cancer,12.024x22.038
12x23,12,23,12.04,23.041,3210.91,6388.65,1,12x23,1380.0,1489.95070588235,invasive cancer,12.04x23.041
12x24,12,24,12.019,24.022,3204.81,6672.99,1,12x24,1377.375,1367.72964705882,invasive cancer,12.019x24.022
12x25,12,25,12.048,25.049,3213.24,6970.67,1,12x25,1381.0,1239.77752941176,connective tissue,12.048x25.049
12x26,12,26,12.042,26.08,3211.5,7269.51,1,12x26,1380.25,1111.32705882353,connective tissue,12.042x26.08
12x27,12,27,12.023,27.082,3205.97,7559.94,1,12x27,1377.875,986.489647058824,connective tissue,12.023x27.082
12x28,12,28,12.014,28.083,3203.35,7850.09,1,12x28,1376.75,861.776823529412,connective tissue,12.014x28.083
12x29,12,29,12.013,29.103,3203.06,8145.74,1,12x29,1376.625,734.696823529412,connective tissue,12.013x29.103
12x3,12,3,12.008,3.05,3201.61,594.2,1,12x3,1376.0,3980.59411764706,invasive cancer,12.008x3.05
12x30,12,30,12.032,30.084,3208.59,8430.08,1,12x30,1379.0,612.475764705883,invasive cancer,12.032x30.084
12x31,12,31,12.031,31.116,3208.3,8729.21,1,12x31,1378.875,483.900705882353,immune infiltrate,12.031x31.116
12x32,12,32,12.023,32.135,3205.97,9024.57,1,12x32,1377.875,356.945294117647,immune infiltrate,12.023x32.135
12x4,12,4,11.998,4.103,3198.7,899.41,1,12x4,1374.75,3849.40270588235,invasive cancer,11.998x4.103
12x5,12,5,12.019,5.07,3204.81,1179.7,1,12x5,1377.375,3728.92588235294,invasive cancer,12.019x5.07
12x6,12,6,12.001,6.062,3199.57,1467.24,1,12x6,1375.125,3605.33435294118,invasive cancer,12.001x6.062
12x7,12,7,12.044,7.047,3212.08,1752.74,1,12x7,1380.5,3482.61494117647,invasive cancer,12.044x7.047
12x8,12,8,12.033,8.063,3208.88,2047.23,1,12x8,1379.125,3356.03329411765,invasive cancer,12.033x8.063
12x9,12,9,12.022,9.031,3205.68,2327.81,1,12x9,1377.75,3235.43188235294,invasive cancer,12.022x9.031
13x10,13,10,13.011,10.027,3493.32,2616.5,1,13x10,1501.375,3111.342,invasive cancer,13.011x10.027
13x11,13,11,13.021,11.023,3496.23,2905.2,1,13x11,1502.625,2987.25211764706,invasive cancer,13.021x11.023
13x12,13,12,13.022,11.988,3496.52,3184.9,1,13x12,1502.75,2867.02447058824,connective tissue,13.022x11.988
13x13,13,13,13.036,13.016,3500.6,3482.87,1,13x13,1504.5,2738.94776470588,invasive cancer,13.036x13.016
13x14,13,14,13.024,13.974,3497.11,3760.55,1,13x14,1503.0,2619.59223529412,invasive cancer,13.024x13.974
13x15,13,15,13.024,15.003,3497.11,4058.81,1,13x15,1503.0,2491.39094117647,invasive cancer,13.024x15.003
13x16,13,16,13.033,16.024,3499.72,4354.75,1,13x16,1504.125,2364.18635294118,invasive cancer,13.033x16.024
13x17,13,17,13.032,17.028,3499.43,4645.76,1,13x17,1504.0,2239.09976470588,invasive cancer,13.032x17.028
13x18,13,18,13.014,18.009,3494.2,4930.11,1,13x18,1501.75,2116.87870588235,invasive cancer,13.014x18.009
13x19,13,19,13.029,19.014,3498.56,5221.41,1,13x19,1503.625,1991.66752941176,invasive cancer,13.029x19.014
13x20,13,20,13.008,20.046,3492.45,5520.54,1,13x20,1501.0,1863.09247058824,invasive cancer,13.008x20.046
13x21,13,21,13.029,21.047,3498.56,5810.68,1,13x21,1503.625,1738.37964705882,invasive cancer,13.029x21.047
13x22,13,22,13.027,22.045,3497.98,6099.96,1,13x22,1503.375,1614.04058823529,invasive cancer,13.027x22.045
13x23,13,23,13.033,23.042,3499.72,6388.94,1,13x23,1504.125,1489.82611764706,invasive cancer,13.033x23.042
13x24,13,24,13.037,24.048,3500.89,6680.53,1,13x24,1504.625,1364.49035294118,invasive cancer,13.037x24.048
13x25,13,25,13.039,25.05,3501.47,6970.96,1,13x25,1504.875,1239.65294117647,invasive cancer,13.039x25.05
13x26,13,26,13.052,26.087,3505.25,7271.54,1,13x26,1506.5,1110.45494117647,invasive cancer,13.052x26.087
13x27,13,27,13.031,27.076,3499.14,7558.21,1,13x27,1503.875,987.237176470588,undetermined,13.031x27.076
13x28,13,28,13.042,28.086,3502.34,7850.96,1,13x28,1505.25,861.40305882353,connective tissue,13.042x28.086
13x29,13,29,13.031,29.076,3499.14,8137.91,1,13x29,1503.875,738.060705882353,connective tissue,13.031x29.076
13x30,13,30,13.027,30.123,3497.98,8441.39,1,13x30,1503.375,607.616823529412,connective tissue,13.027x30.123
13x31,13,31,13.043,31.102,3502.63,8725.15,1,13x31,1505.375,485.644941176471,immune infiltrate,13.043x31.102
13x32,13,32,13.041,32.13,3502.05,9023.12,1,13x32,1505.125,357.568235294117,undetermined,13.041x32.13
13x4,13,4,13.014,4.06,3494.2,886.95,1,13x4,1501.75,3854.76,invasive cancer,13.014x4.06
13x5,13,5,13.024,5.083,3497.11,1183.47,1,13x5,1503.0,3727.30623529412,invasive cancer,13.024x5.083
13x6,13,6,13.019,6.076,3495.65,1471.29,1,13x6,1502.375,3603.59011764706,invasive cancer,13.019x6.076
13x7,13,7,13.042,7.046,3502.34,1752.45,1,13x7,1505.25,3482.73952941176,invasive cancer,13.042x7.046
13x8,13,8,13.04,8.055,3501.76,2044.91,1,13x8,1505.0,3357.03,invasive cancer,13.04x8.055
13x9,13,9,13.019,9.026,3495.65,2326.36,1,13x9,1502.375,3236.05482352941,invasive cancer,13.019x9.026
14x10,14,10,13.994,9.983,3779.22,2603.75,1,14x10,1624.25,3116.82388235294,invasive cancer,13.994x9.983
14x11,14,11,13.979,10.979,3774.86,2892.44,1,14x11,1622.375,2992.734,undetermined,13.979x10.979
14x12,14,12,13.971,11.973,3772.53,3180.56,1,14x12,1621.375,2868.89329411765,connective tissue,13.971x11.973
14x13,14,13,13.981,12.983,3775.44,3473.31,1,14x13,1622.625,2743.05917647059,invasive cancer,13.981x12.983
14x14,14,14,13.985,13.982,3776.61,3762.87,1,14x14,1623.125,2618.59552941176,invasive cancer,13.985x13.982
14x15,14,15,13.994,14.989,3779.22,4054.75,1,14x15,1624.25,2493.13517647059,invasive cancer,13.994x14.989
14x16,14,16,14.006,16.01,3782.71,4350.69,1,14x16,1625.75,2365.93058823529,invasive cancer,14.006x16.01
14x17,14,17,14.006,17.0,3782.71,4637.65,1,14x17,1625.75,2242.58823529412,invasive cancer,14.006x17.0
14x18,14,18,13.979,17.989,3774.86,4924.31,1,14x18,1622.375,2119.37047058824,invasive cancer,13.979x17.989
14x19,14,19,13.973,19.001,3773.12,5217.64,1,14x19,1621.625,1993.28717647059,invasive cancer,13.973x19.001
14x20,14,20,13.987,20.006,3777.19,5508.95,1,14x20,1623.375,1868.076,invasive cancer,13.987x20.006
14x21,14,21,14.019,21.018,3786.49,5802.28,1,14x21,1627.375,1741.99270588235,invasive cancer,14.019x21.018
14x22,14,22,13.992,22.026,3778.64,6094.45,1,14x22,1624.0,1616.40776470588,invasive cancer,13.992x22.026
14x23,14,23,13.996,23.031,3779.81,6385.75,1,14x23,1624.5,1491.19658823529,invasive cancer,13.996x23.031
14x24,14,24,13.984,24.027,3776.32,6674.44,1,14x24,1623.0,1367.10670588235,invasive cancer,13.984x24.027
14x25,14,25,14.004,25.045,3782.13,6969.51,1,14x25,1625.5,1240.27588235294,invasive cancer,14.004x25.045
14x26,14,26,13.996,26.055,3779.81,7262.27,1,14x26,1624.5,1114.44176470588,invasive cancer,13.996x26.055
14x27,14,27,14.001,27.046,3781.26,7549.51,1,14x27,1625.125,990.974823529412,invasive cancer,14.001x27.046
14x28,14,28,13.99,28.046,3778.06,7839.36,1,14x28,1623.75,866.386588235294,invasive cancer,13.99x28.046
14x29,14,29,13.998,29.052,3780.39,8130.95,1,14x29,1624.75,741.050823529412,invasive cancer,13.998x29.052
14x30,14,30,14.008,30.08,3783.3,8428.92,1,14x30,1626.0,612.974117647059,invasive cancer,14.008x30.08
14x31,14,31,14.002,31.094,3781.55,8722.83,1,14x31,1625.25,486.641647058823,connective tissue,14.002x31.094
14x33,14,33,14.012,33.087,3784.46,9300.51,1,14x33,1626.5,238.337294117647,undetermined,14.012x33.087
14x4,14,4,13.988,4.055,3777.48,885.5,1,14x4,1623.5,3855.38294117647,invasive cancer,13.988x4.055
14x5,14,5,13.991,5.045,3778.35,1172.46,1,14x5,1623.875,3732.04058823529,invasive cancer,13.991x5.045
14x6,14,6,13.998,6.04,3780.39,1460.86,1,14x6,1624.75,3608.07529411765,invasive cancer,13.998x6.04
14x7,14,7,13.987,7.018,3777.19,1744.34,1,14x7,1623.375,3486.228,invasive cancer,13.987x7.018
14x8,14,8,13.984,7.999,3776.32,2028.68,1,14x8,1623.0,3364.00694117647,invasive cancer,13.984x7.999
14x9,14,9,13.974,8.994,3773.41,2317.08,1,14x9,1621.75,3240.04164705882,invasive cancer,13.974x8.994
15x10,15,10,14.94,9.976,4054.36,2601.72,1,15x10,1742.5,3117.696,invasive cancer,14.94x9.976
15x11,15,11,14.941,10.962,4054.65,2887.51,1,15x11,1742.625,2994.852,invasive cancer,14.941x10.962
15x12,15,12,14.961,11.961,4060.47,3177.08,1,15x12,1745.125,2870.38835294118,undetermined,14.961x11.961
15x13,15,13,14.945,12.959,4055.82,3466.35,1,15x13,1743.125,2746.04929411765,invasive cancer,14.945x12.959
15x14,15,14,14.964,13.977,4061.34,3761.42,1,15x14,1745.5,2619.21847058824,invasive cancer,14.964x13.977
15x15,15,15,14.967,15.007,4062.21,4059.97,1,15x15,1745.875,2490.89258823529,invasive cancer,14.967x15.007
15x16,15,16,14.978,15.981,4065.41,4342.29,1,15x16,1747.25,2369.54364705882,invasive cancer,14.978x15.981
15x17,15,17,14.976,17.012,4064.83,4641.13,1,15x17,1747.0,2241.09317647059,invasive cancer,14.976x17.012
15x18,15,18,14.935,17.991,4052.91,4924.89,1,15x18,1741.875,2119.12129411765,invasive cancer,14.935x17.991
15x19,15,19,14.962,19.005,4060.76,5218.8,1,15x19,1745.25,1992.78882352941,invasive cancer,14.962x19.005
15x20,15,20,14.973,19.997,4063.96,5506.34,1,15x20,1746.625,1869.19729411765,invasive cancer,14.973x19.997
15x21,15,21,14.968,21.014,4062.51,5801.12,1,15x21,1746.0,1742.49105882353,invasive cancer,14.968x21.014
15x22,15,22,14.985,22.001,4067.45,6087.2,1,15x22,1748.125,1619.52247058824,invasive cancer,14.985x22.001
15x23,15,23,14.968,23.009,4062.51,6379.37,1,15x23,1746.0,1493.93752941176,invasive cancer,14.968x23.009
15x24,15,24,14.985,24.032,4067.45,6675.89,1,15x24,1748.125,1366.48376470588,invasive cancer,14.985x24.032
15x25,15,25,14.97,25.021,4063.09,6962.56,1,15x25,1746.25,1243.266,undetermined,14.97x25.021
15x26,15,26,14.987,26.019,4068.03,7251.83,1,15x26,1748.375,1118.92694117647,immune infiltrate,14.987x26.019
15x27,15,27,14.948,27.039,4056.69,7547.48,1,15x27,1743.5,991.84694117647,invasive cancer,14.948x27.039
15x28,15,28,14.979,28.06,4065.7,7843.42,1,15x28,1747.375,864.642352941177,invasive cancer,14.979x28.06
15x29,15,29,14.964,29.057,4061.34,8132.4,1,15x29,1745.5,740.427882352942,invasive cancer,14.964x29.057
15x30,15,30,14.975,30.061,4064.54,8423.42,1,15x30,1746.875,615.341294117647,invasive cancer,14.975x30.061
15x31,15,31,14.981,31.073,4066.29,8716.75,1,15x31,1747.625,489.258,invasive cancer,14.981x31.073
15x33,15,33,14.974,33.087,4064.25,9300.51,1,15x33,1746.75,238.337294117647,undetermined,14.974x33.087
15x4,15,4,14.955,4.042,4058.72,881.73,1,15x4,1744.375,3857.00258823529,invasive cancer,14.955x4.042
15x5,15,5,14.96,5.039,4060.18,1170.72,1,15x5,1745.0,3732.78811764706,invasive cancer,14.96x5.039
15x6,15,6,14.963,6.039,4061.05,1460.57,1,15x6,1745.375,3608.19988235294,invasive cancer,14.963x6.039
15x7,15,7,14.956,7.025,4059.02,1746.36,1,15x7,1744.5,3485.35588235294,invasive cancer,14.956x7.025
15x9,15,9,14.929,9.012,4051.16,2322.3,1,15x9,1741.125,3237.79905882353,invasive cancer,14.929x9.012
16x10,16,10,15.94,9.973,4345.21,2600.85,1,16x10,1867.5,3118.06976470588,invasive cancer,15.94x9.973
16x11,16,11,15.961,10.965,4351.31,2888.38,1,16x11,1870.125,2994.47823529412,invasive cancer,15.961x10.965
16x12,16,12,15.955,11.962,4349.57,3177.37,1,16x12,1869.375,2870.26376470588,invasive cancer,15.955x11.962
16x13,16,13,15.959,12.975,4350.73,3470.99,1,16x13,1869.875,2744.05588235294,invasive cancer,15.959x12.975
16x14,16,14,15.968,13.972,4353.35,3759.97,1,16x14,1871.0,2619.84141176471,invasive cancer,15.968x13.972
16x15,16,15,15.977,14.991,4355.97,4055.33,1,16x15,1872.125,2492.886,invasive cancer,15.977x14.991
16x16,16,16,15.971,15.97,4354.22,4339.1,1,16x16,1871.375,2370.91411764706,invasive cancer,15.971x15.97
16x17,16,17,15.932,16.99,4342.88,4634.75,1,16x17,1866.5,2243.83411764706,invasive cancer,15.932x16.99
16x18,16,18,15.965,18.013,4352.48,4931.27,1,16x18,1870.625,2116.38035294118,invasive cancer,15.965x18.013
16x19,16,19,15.968,18.992,4353.35,5215.03,1,16x19,1871.0,1994.40847058824,invasive cancer,15.968x18.992
16x20,16,20,15.95,20.011,4348.11,5510.39,1,16x20,1868.75,1867.45305882353,invasive cancer,15.95x20.011
16x21,16,21,15.975,21.011,4355.39,5800.25,1,16x21,1871.875,1742.86482352941,invasive cancer,15.975x21.011
16x22,16,22,15.965,22.011,4352.48,6090.1,1,16x22,1870.625,1618.27658823529,invasive cancer,15.965x22.011
16x23,16,23,15.962,23.026,4351.6,6384.3,1,16x23,1870.25,1491.81952941176,invasive cancer,15.962x23.026
16x24,16,24,15.972,24.041,4354.51,6678.5,1,16x24,1871.5,1365.36247058824,invasive cancer,15.972x24.041
16x25,16,25,15.989,25.016,4359.46,6961.11,1,16x25,1873.625,1243.88894117647,invasive cancer,15.989x25.016
16x26,16,26,15.984,26.025,4358.0,7253.57,1,16x26,1873.0,1118.17941176471,undetermined,15.984x26.025
16x27,16,27,15.972,27.059,4354.51,7553.28,1,16x27,1871.5,989.355176470588,undetermined,15.972x27.059
16x28,16,28,15.96,28.062,4351.02,7844.0,1,16x28,1870.0,864.393176470589,invasive cancer,15.96x28.062
16x29,16,29,15.973,29.064,4354.8,8134.43,1,16x29,1871.625,739.555764705882,invasive cancer,15.973x29.064
16x30,16,30,15.977,30.07,4355.97,8426.03,1,16x30,1872.125,614.22,invasive cancer,15.977x30.07
16x31,16,31,15.983,31.081,4357.71,8719.07,1,16x31,1872.875,488.261294117647,invasive cancer,15.983x31.081
16x5,16,5,15.962,5.101,4351.6,1188.69,1,16x5,1870.25,3725.06364705882,invasive cancer,15.962x5.101
16x6,16,6,15.949,6.032,4347.82,1458.54,1,16x6,1868.625,3609.072,invasive cancer,15.949x6.032
16x7,16,7,15.98,7.053,4356.84,1754.48,1,16x7,1872.5,3481.86741176471,invasive cancer,15.98x7.053
16x8,16,8,15.963,8.001,4351.9,2029.26,1,16x8,1870.375,3363.75776470588,invasive cancer,15.963x8.001
16x9,16,9,15.96,8.986,4351.02,2314.77,1,16x9,1870.0,3241.03835294118,invasive cancer,15.96x8.986
17x10,17,10,16.961,9.931,4642.16,2588.68,1,17x10,1995.125,3123.30247058824,invasive cancer,16.961x9.931
17x11,17,11,16.938,10.984,4635.47,2893.89,1,17x11,1992.25,2992.11105882353,invasive cancer,16.938x10.984
17x12,17,12,16.915,11.947,4628.78,3173.02,1,17x12,1989.375,2872.13258823529,invasive cancer,16.915x11.947
17x13,17,13,16.91,12.934,4627.32,3459.11,1,17x13,1988.75,2749.164,invasive cancer,16.91x12.934
17x14,17,14,16.932,13.955,4633.72,3755.04,1,17x14,1991.5,2621.95941176471,invasive cancer,16.932x13.955
17x15,17,15,16.923,14.968,4631.11,4048.67,1,17x15,1990.375,2495.75152941176,invasive cancer,16.923x14.968
17x16,17,16,16.928,15.984,4632.56,4343.16,1,17x16,1991.0,2369.16988235294,invasive cancer,16.928x15.984
17x17,17,17,16.927,16.987,4632.27,4633.88,1,17x17,1990.875,2244.20788235294,invasive cancer,16.927x16.987
17x18,17,18,16.995,17.979,4652.05,4921.41,1,17x18,1999.375,2120.61635294118,invasive cancer,16.995x17.979
17x19,17,19,16.919,18.976,4629.94,5210.4,1,17x19,1989.875,1996.40188235294,invasive cancer,16.919x18.976
17x20,17,20,16.925,19.995,4631.69,5505.76,1,17x20,1990.625,1869.44647058824,invasive cancer,16.925x19.995
17x21,17,21,16.925,21.0,4631.69,5797.06,1,17x21,1990.625,1744.23529411765,invasive cancer,16.925x21.0
17x22,17,22,16.931,21.994,4633.43,6085.17,1,17x22,1991.375,1620.39458823529,invasive cancer,16.931x21.994
17x23,17,23,16.935,23.004,4634.6,6377.92,1,17x23,1991.875,1494.56047058824,invasive cancer,16.935x23.004
17x24,17,24,16.938,24.007,4635.47,6668.65,1,17x24,1992.25,1369.59847058824,invasive cancer,16.938x24.007
17x25,17,25,16.982,25.083,4648.26,6980.53,1,17x25,1997.75,1235.54152941177,invasive cancer,16.982x25.083
17x26,17,26,16.945,26.033,4637.5,7255.89,1,17x26,1993.125,1117.18270588235,invasive cancer,16.945x26.033
17x27,17,27,16.952,27.022,4639.54,7542.55,1,17x27,1994.0,993.964941176471,invasive cancer,16.952x27.022
17x28,17,28,16.935,28.053,4634.6,7841.39,1,17x28,1991.875,865.514470588235,invasive cancer,16.935x28.053
17x29,17,29,16.948,29.064,4638.38,8134.43,1,17x29,1993.5,739.555764705882,invasive cancer,16.948x29.064
17x30,17,30,16.962,30.062,4642.45,8423.71,1,17x30,1995.25,615.216705882353,invasive cancer,16.962x30.062
17x31,17,31,16.948,31.061,4638.38,8713.27,1,17x31,1993.5,490.753058823529,invasive cancer,16.948x31.061
17x5,17,5,16.918,5.033,4629.65,1168.98,1,17x5,1989.75,3733.53564705882,invasive cancer,16.918x5.033
17x6,17,6,16.917,6.033,4629.36,1458.83,1,17x6,1989.625,3608.94741176471,invasive cancer,16.917x6.033
17x7,17,7,16.937,7.019,4635.18,1744.62,1,17x7,1992.125,3486.10341176471,invasive cancer,16.937x7.019
17x8,17,8,16.948,7.985,4638.38,2024.62,1,17x8,1993.5,3365.75117647059,invasive cancer,16.948x7.985
17x9,17,9,16.924,8.963,4631.4,2308.1,1,17x9,1990.5,3243.90388235294,invasive cancer,16.924x8.963
18x10,18,10,17.949,9.963,4929.51,2597.95,1,18x10,2118.625,3119.31564705882,invasive cancer,17.949x9.963
18x11,18,11,17.959,11.013,4932.42,2902.3,1,18x11,2119.875,2988.498,invasive cancer,17.959x11.013
